Name,Address,Lat,Lon,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
The Woodlands Family YMCA at Branch Cross,"8100 Ashlane Way, The Woodlands, 77382",30.18291959,-95.56199512,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-8:00PM,6:00AM-6:00PM,12:00PM-6:00PM
The Woodlands YMCA Shadowbend,"6145 Shadowbend Place, The Woodlands, 77381",30.18674788,-95.4922476,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-8:00PM,6:00AM-6:00PM,11:00AM-4:00PM
Holcomb Family YMCA,5201 Imperial Promenade Dr. Spring TX 77386,30.1347099,-95.36843745,6:00AM-8:30PM,6:00AM-8:30PM,6:00AM-8:30PM,6:00AM-8:30PM,6:00AM-8:30PM,7:00AM-4:00PM,10:00AM-2:00PM
Lake Houston Family YMCA,"2420 W Lake Houston Pkwy, Houston, TX 77339",30.04180999,-95.17641805,5:00AM-10:00PM,5:00AM-10:00PM,5:00AM-10:00PM,5:00AM-10:00PM,5:00AM-9:00PM,6:00AM-6:00PM,11:00AM-4:00PM
D. Bradley Mcwilliams YMCA At Cypress Creek,"19915 S.H. 249, Houston, TX 77070",29.98378527,-95.57042969,5:00AM-10:00PM,5:00AM-10:00PM,5:00AM-10:00PM,5:00AM-10:00PM,5:00AM-9:00PM,7:00AM-6:00PM,11:00AM-6:00PM
Langham Creek Family YMCA,"16725 Longenbaugh Dr, Houston, TX 77095",29.89888881,-95.66704965,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-8:00PM,7:00AM-6:00PM,12:00PM-5:00PM
Mark A Chapman Family YMCA,"1350 Main St, Katy, TX 77494",29.77179713,-95.82512695,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,7:00AM-7:00PM,1:00PM-7:00PM
Monty Ballard Family YMCA,"22807 Westheimer Pkwy, Katy, TX 77494",29.73371734,-95.7649363,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,7:00AM-7:00PM,1:00PM-7:00PM
Kendall Neighborhood Library,"609 N. Eldridge, Houston, TX 77079",29.77286681,-95.62058153,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Hackberry Community Center,7777 S. Dairy Ashford,29.69309574,-95.6033856,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-7:00PM,10:00AM-2:00PM,
TECHLink Alief,"11903 Bellaire Blvd, Houston, TX 77072",29.70279213,-95.58893986,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Robinson Westchase Library,"3223 Wilcrest Dr, Houston, TX 77042",29.72897019,-95.57096691,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Fort Bend Family YMCA,"4433 Cartwright Road, Missouri City, 77459",29.58176959,-95.57540511,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,7:00AM-5:00PM,
Stimley - Blue Ridge Library,"7007 W. Fuqua St, Missouri City, TX 77489",29.59831067,-95.49088585,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Walter Neighborhood Library,"7660 Clarewood Dr, Houston, TX 77036",29.70992847,-95.52051657,,,,,,10:00AM-5:00PM,
Marian Community Center,"11101 S. Gessner, Houston, TX 77071",29.66001942,-95.52349377,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,10:00AM-2:00PM,
West Orem Family YMCA,"5801 W Orem Dr. Houston, TX 77085",29.62799193,-95.47622817,"7:00AM-1:00PM,4:00PM-8:00PM","7:00AM-1:00PM,4:00PM-8:00PM","7:00AM-1:00PM,4:00PM-8:00PM","7:00AM-1:00PM,4:00PM-8:00PM","7:00AM-1:00PM,4:00PM-8:00PM",8:00AM-12:00PM,
Vinson Neighborhood Library,"3810 W. Fuqua, Houston, TX 77045",29.61421976,-95.4334175,10:00AM-6:00PM,10:00AM-6:00PM,10:00AM-6:00PM,10:00AM-6:00PM,10:00AM-6:00PM,10:00AM-5:00PM,
Townwood Community Center,"3403 Simsbrook Dr., Houston, TX 77045",29.62156854,-95.42940117,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,10:00AM-2:00PM,
Perry YMCA,"1700 W League City Pkwy, League City, TX 77573",29.48758006,-95.11105987,4:30AM-9:00PM,4:30AM-9:00PM,4:30AM-9:00PM,4:30AM-9:00PM,4:30AM-9:00PM,7:00AM-6:00PM,1:00PM-6:00PM
Vic Coppinger Family YMCA,"2700 YMCA Drive, Pearland, TX 77581",29.55530322,-95.26778383,4:30AM-9:00PM,4:30AM-9:00PM,4:30AM-9:00PM,4:30AM-9:00PM,4:30AM-9:00PM,7:00AM-6:00PM,12:00PM-6:00PM
Bracewell Neighborhood Library,"9002 Kingspoint Dr, Houston, TX 77075",29.60175306,-95.24535309,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Sagemont Community Center,"11507 Hughes Rd, Houston, TX 77089",29.59974424,-95.2160604,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,10:00AM-2:00PM,
Wendel D. Ley Family YMCA,"15055 Wallisville Rd, Houston, TX 77049",29.80733378,-95.17357354,5:00AM-10:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,8:00AM-4:00PM,
Brenda and John Duncan YMCA,"10655 Clay Rd, Houston, TX 77041",29.83117935,-95.55346688,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-9:00PM,5:00AM-8:00PM,7:00AM-3:00PM,11:00AM-4:00PM
Hillendahl Library,"2436 Gessner Dr, Houston, TX 77080",29.81579505,-95.54471354,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Collier Regional Library,"6200 Pinemont Dr, Houston, TX 77092",29.8407295,-95.48209145,12:00PM-8:00PM,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Shepard-Acres Homes Neighborhood Library,"8501 W. Montgomery Rd, Houston, TX 77088",29.8710929,-95.43675519,10:00AM-6:00PM,10:00AM-6:00PM,12:00PM-8:00PM,10:00AM-6:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Melrose Community Center,"1001 Canino Rd, Houston, TX 77076",29.87695409,-95.36760828,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,10:00AM-2:00PM,
TECHLink Scenic Woods,"10677 Homestead Rd, Houston, TX 77016",29.86988356,-95.30097321,12:00PM-8:00PM,2:00PM-6:00PM,2:00PM-6:00PM,12:00PM-8:00PM,1:00PM-5:00PM,10:00AM-5:00PM,
Tidwell Community Center,"9720 Spaulding St, Houston, TX 77016",29.85144759,-95.30354138,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,12:00PM-8:00PM,10:00AM-2:00PM,
Freed Community Center,"6818 Shadyvilla Ln, Houston, TX 77055",29.79689509,-95.47199937,,,,,,10:00AM-4:00PM,
